2021-05-05 09:04:51.288978§utilisateur§bonjour christelle
2021-05-05 09:04:51.312981§chatbot§"bonjour christelle"
2021-05-05 09:10:30.398205§utilisateur§salut
2021-05-05 09:10:30.416184§chatbot§"salut"
2021-05-05 09:15:49.118718§utilisateur§salut
2021-05-05 09:15:49.136718§chatbot§"salut"
2021-05-05 18:53:33.387850§utilisateur§hé ho
2021-05-05 18:53:49.344562§chatbot§Les écoles Simplon sont basées sur la pédagogie active, il n’y a donc pas de cours magistraux. Les compétences sont validées tout au long de la période intensive grâce à divers projets sur divers sujets.
2021-05-05 18:55:56.082666§utilisateur§c
2021-05-05 18:56:12.469479§chatbot§Les écoles Simplon sont basées sur la pédagogie active, il n’y a donc pas de cours magistraux. Les compétences sont validées tout au long de la période intensive grâce à divers projets sur divers sujets.
2021-05-05 18:56:31.100904§utilisateur§k
2021-05-05 18:56:47.340220§chatbot§Les écoles Simplon sont basées sur la pédagogie active, il n’y a donc pas de cours magistraux. Les compétences sont validées tout au long de la période intensive grâce à divers projets sur divers sujets.
2021-05-05 18:56:56.449119§utilisateur§hey
